AGE;Ensemble;De 18 ˆ 20 ans;De 21 ˆ 25 ans;De 26 ˆ 30 ans;De 31 ˆ 40 ans;De 41 ˆ 50 ans;De 51 ˆ 60 ans;De 61 ˆ 65 ans;Plus de 65 ans
;Homme;15Ê639;6Ê968;9Ê901;12Ê620;15Ê966;19Ê264;19Ê228;29Ê488;29Ê356
;Femme;11Ê590;6Ê936;9Ê096;10Ê699;12Ê245;13Ê473;13Ê089;14Ê272;16Ê617
1988;Ensemble;14Ê622;6Ê660;9Ê800;12Ê222;15Ê007;17Ê949;17Ê939;22Ê535;24Ê864
;Homme;16Ê093;6Ê659;10Ê111;12Ê960;16Ê346;19Ê912;19Ê957;27Ê764;29Ê340
;Femme;11Ê991;6Ê661;9Ê378;11Ê062;12Ê628;13Ê944;13Ê515;14Ê487;17Ê756
1989;Ensemble;15Ê270;7Ê267;10Ê227;12Ê817;15Ê575;18Ê712;18Ê676;24Ê661;24Ê274
;Homme;16Ê776;7Ê336;10Ê573;13Ê582;16Ê928;20Ê716;20Ê630;30Ê859;28Ê756
;Femme;12Ê561;7Ê150;9Ê757;11Ê602;13Ê163;14Ê611;14Ê231;15Ê276;17Ê639
1990;Ensemble;16Ê065;7Ê551;10Ê738;13Ê521;16Ê290;19Ê490;19Ê672;25Ê382;25Ê541
;Homme;17Ê643;7Ê646;11Ê110;14Ê316;17Ê679;21Ê589;21Ê700;30Ê980;30Ê323
;Femme;13Ê258;7Ê398;10Ê238;12Ê268;13Ê832;15Ê331;15Ê034;16Ê183;18Ê212
1991;Ensemble;16Ê638;7Ê733;11Ê102;14Ê038;16Ê780;20Ê000;20Ê398;25Ê769;26Ê459
;Homme;18Ê266;7Ê851;11Ê495;14Ê852;18Ê185;22Ê167;22Ê472;30Ê741;31Ê477
;Femme;13Ê772;7Ê546;10Ê577;12Ê764;14Ê308;15Ê840;15Ê630;16Ê867;18Ê539
1992;Ensemble;17Ê072;7Ê412;11Ê274;14Ê356;17Ê160;20Ê258;21Ê085;25Ê193;28Ê953
;Homme;18Ê708;7Ê478;11Ê631;15Ê142;18Ê567;22Ê404;23Ê224;30Ê171;35Ê086
;Femme;14Ê225;7Ê301;10Ê803;13Ê137;14Ê717;16Ê245;16Ê192;16Ê801;20Ê113
1993;Ensemble;17Ê507;8Ê027;11Ê548;14Ê647;17Ê442;20Ê419;21Ê549;27Ê100;23Ê750
;Homme;18Ê999;8Ê124;11Ê782;15Ê297;18Ê657;22Ê367;23Ê522;32Ê282;28Ê340
;Femme;14Ê894;7Ê869;11Ê243;13Ê630;15Ê293;16Ê798;17Ê047;18Ê531;16Ê397
1994;Ensemble;17Ê577;7Ê865;11Ê195;14Ê590;17Ê576;20Ê505;21Ê946;26Ê780;22Ê578
;Homme;19Ê054;8Ê121;11Ê463;15Ê246;18Ê796;22Ê423;23Ê972;32Ê114;26Ê365
;Femme;14Ê703;7Ê336;10Ê799;13Ê461;15Ê135;16Ê588;16Ê972;18Ê013;16Ê339
1995;Ensemble;18Ê296;8Ê218;11Ê723;15Ê051;18Ê123;20Ê983;23Ê010;28Ê987;28Ê126
;Homme;19Ê580;8Ê397;11Ê893;15Ê523;19Ê187;22Ê807;25Ê058;34Ê399;29Ê764
;Femme;15Ê606;7Ê813;11Ê458;14Ê198;15Ê961;17Ê347;18Ê164;19Ê978;20Ê056
1996;Ensemble;18Ê573;8Ê087;11Ê808;15Ê116;18Ê372;21Ê183;23Ê634;30Ê672;23Ê828
;Homme;19Ê896;8Ê204;12Ê025;15Ê635;19Ê463;23Ê038;25Ê826;37Ê543;24Ê745
;Femme;15Ê782;7Ê821;11Ê476;14Ê180;16Ê149;17Ê498;18Ê548;20Ê454;18Ê875
1997;Ensemble;18Ê901;8Ê110;12Ê080;15Ê378;18Ê788;21Ê470;24Ê097;30Ê804;24Ê408
;Homme;20Ê278;8Ê181;12Ê284;15Ê876;19Ê858;23Ê310;26Ê358;37Ê819;25Ê244
;Femme;16Ê187;7Ê947;11Ê769;14Ê475;16Ê587;17Ê851;18Ê993;20Ê427;19Ê421
1998;Ensemble;19Ê229;8Ê374;12Ê332;15Ê668;19Ê167;21Ê727;24Ê596;31Ê850;24Ê313
;Homme;20Ê607;8Ê476;12Ê538;16Ê181;20Ê234;23Ê550;26Ê922;38Ê934;25Ê130
;Femme;16Ê506;8Ê135;12Ê018;14Ê736;16Ê950;18Ê148;19Ê451;20Ê913;19Ê312
1999;Ensemble;19Ê632;8Ê334;12Ê632;16Ê103;19Ê608;22Ê051;25Ê028;33Ê016;24Ê799
;Homme;21Ê033;8Ê448;12Ê876;16Ê652;20Ê692;23Ê876;27Ê398;40Ê136;25Ê674
;Femme;16Ê861;8Ê064;12Ê256;15Ê113;17Ê346;18Ê468;19Ê845;21Ê506;19Ê660
2000;Ensemble;20Ê060;8Ê673;13Ê131;16Ê714;20Ê114;22Ê444;25Ê408;33Ê942;24Ê910
;Homme;21Ê498;8Ê778;13Ê438;17Ê318;21Ê245;24Ê288;27Ê794;40Ê849;25Ê870
;Femme;17Ê259;8Ê435;12Ê658;15Ê646;17Ê779;18Ê873;20Ê281;22Ê058;19Ê679
2001;Ensemble;20Ê474;10Ê044;14Ê008;17Ê430;20Ê603;22Ê864;25Ê911;34Ê516;28Ê748
;Homme;21Ê889;10Ê169;14Ê332;18Ê048;21Ê730;24Ê701;28Ê264;40Ê713;32Ê728
;Femme;17Ê651;9Ê771;13Ê483;16Ê319;18Ê202;19Ê181;20Ê701;22Ê902;21Ê501
2002;Ensemble;20Ê951;9Ê587;14Ê061;17Ê742;20Ê959;23Ê295;26Ê216;35Ê813;32Ê540
;Homme;22Ê422;9Ê708;14Ê408;18Ê351;22Ê097;25Ê164;28Ê609;41Ê900;37Ê346
;Femme;18Ê072;9Ê311;13Ê512;16Ê692;18Ê581;19Ê598;21Ê038;23Ê636;23Ê654
2003;Ensemble;21Ê342;11Ê006;14Ê241;18Ê031;21Ê312;23Ê661;26Ê461;36Ê030;34Ê638
;Homme;22Ê840;11Ê572;14Ê607;18Ê631;22Ê474;25Ê570;28Ê906;41Ê857;39Ê884
;Femme;18Ê443;9Ê513;13Ê667;17Ê024;18Ê932;19Ê926;21Ê338;24Ê364;27Ê762
2004;Ensemble;21Ê805;11Ê421;14Ê483;18Ê279;21Ê713;24Ê145;27Ê019;37Ê587;40Ê306
;Homme;23Ê360;12Ê076;14Ê846;18Ê875;22Ê905;26Ê131;29Ê655;43Ê855;47Ê583
;Femme;18Ê858;9Ê646;13Ê906;17Ê292;19Ê319;20Ê363;21Ê770;25Ê244;27Ê841
2005;Ensemble;22Ê443;9Ê766;14Ê905;18Ê699;22Ê308;24Ê851;27Ê591;38Ê939;46Ê874
;Homme;24Ê007;9Ê848;15Ê284;19Ê289;23Ê475;26Ê834;30Ê296;45Ê341;56Ê546
;Femme;19Ê500;9Ê567;14Ê299;17Ê726;19Ê963;21Ê053;22Ê380;26Ê267;30Ê903
2006;Ensemble;22Ê809;9Ê941;15Ê156;18Ê954;22Ê708;25Ê358;28Ê042;39Ê727;51Ê360
;Homme;24Ê370;10Ê080;15Ê535;19Ê539;23Ê877;27Ê359;30Ê804;46Ê162;61Ê154
;Femme;19Ê866;9Ê590;14Ê533;17Ê988;20Ê373;21Ê502;22Ê800;27Ê054;33Ê534
2007;Ensemble;23Ê527;10Ê467;15Ê662;19Ê507;23Ê483;26Ê250;28Ê738;41Ê668;50Ê467
;Homme;25Ê168;10Ê727;16Ê113;20Ê161;24Ê702;28Ê356;31Ê597;48Ê498;59Ê089
;Femme;20Ê472;9Ê819;14Ê917;18Ê439;21Ê085;22Ê230;23Ê409;28Ê225;34Ê539
2008;Ensemble;24Ê287;10Ê452;16Ê144;20Ê166;24Ê290;27Ê116;29Ê492;42Ê000;51Ê597
;Homme;26Ê010;10Ê621;16Ê626;20Ê898;25Ê583;29Ê311;32Ê443;48Ê632;60Ê203
;Femme;21Ê135;10Ê032;15Ê359;18Ê991;21Ê806;22Ê979;24Ê085;28Ê821;35Ê129
2009;Ensemble;24Ê626;10Ê756;16Ê556;20Ê522;24Ê609;27Ê431;29Ê636;40Ê700;50Ê578
;Homme;26Ê300;10Ê876;17Ê051;21Ê259;25Ê843;29Ê521;32Ê438;46Ê989;59Ê253
;Femme;21Ê593;10Ê478;15Ê773;19Ê343;22Ê265;23Ê513;24Ê524;28Ê543;34Ê028
2010;Ensemble;25Ê139;10Ê529;16Ê448;20Ê736;25Ê007;27Ê980;30Ê100;41Ê274;49Ê660
;Homme;26Ê831;10Ê680;16Ê946;21Ê454;26Ê223;30Ê091;32Ê858;47Ê560;57Ê841
;Femme;22Ê112;10Ê174;15Ê658;19Ê601;22Ê737;24Ê081;25Ê131;29Ê492;33Ê987
